year,imd,sex,cause,<1   ,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+  ,All Ages
1986,2,Female,03 Diabetes,0,0,0,0,0,3,0,0,0,2,7,9,16,25,57,85,114,106,72,50,546
1986,2,Female,04 Ischaemic heart disease,0,0,0,0,0,0,1,4,8,14,43,86,252,532,772,1243,1539,1575,1136,633,7838
1986,2,Female,05 Stroke (cerebrovascular),2,0,0,0,1,1,4,6,5,21,34,35,93,169,277,526,886,1082,952,524,4618
1986,2,Female,06 Other circulatory,4,1,2,1,5,1,4,8,11,13,19,31,69,132,174,306,515,608,570,506,2980
1986,2,Female,07 Intentional injuries,1,2,2,1,4,5,17,10,8,6,6,17,9,10,7,17,12,9,4,1,148
1986,2,Female,08 Unintentional injuries,10,14,6,8,18,16,10,9,15,10,11,9,18,21,38,52,72,88,90,57,572
1986,2,Female,09 All other causes,302,32,12,9,21,23,21,29,41,45,52,57,126,196,259,400,640,866,826,586,4543
1986,2,Female,10 Neonatal,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
1986,3,Male,01 Neoplasms,1,9,7,5,8,14,25,24,51,78,131,245,587,1011,1242,1488,1374,884,366,104,7654
1986,3,Male,02 Diseases of the respiratory system,22,4,0,2,2,9,7,8,12,17,23,55,101,228,392,599,792,752,468,234,3727
1986,3,Male,03 Diabetes,0,0,0,0,1,1,2,4,0,4,5,9,23,33,47,75,71,58,22,14,369
1986,3,Male,04 Ischaemic heart disease,0,0,0,0,1,2,4,22,55,98,201,356,628,1106,1405,1766,1703,1098,544,175,9164
1986,3,Male,05 Stroke (cerebrovascular),0,0,0,0,1,2,6,11,4,14,26,53,122,200,312,479,592,511,285,122,2740
1986,3,Male,06 Other circulatory,2,4,2,4,6,8,5,4,11,19,30,50,94,161,242,302,432,368,213,123,2080
1986,3,Male,07 Intentional injuries,1,2,2,0,11,36,44,38,28,38,22,20,28,22,25,23,12,4,3,1,360
1986,3,Male,08 Unintentional injuries,6,9,9,18,73,75,51,38,27,30,32,28,34,45,34,48,57,46,33,12,705
1986,3,Male,09 All other causes,359,28,12,8,33,50,34,51,53,55,83,85,115,187,256,375,508,479,257,141,3169
1986,3,Male,10 Neonatal,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
1986,3,Female,01 Neoplasms,1,4,4,3,8,12,19,34,79,128,199,288,538,737,899,1098,1010,885,584,261,6791
1986,3,Female,02 Diseases of the respiratory system,17,3,1,3,2,2,1,2,2,8,12,23,79,152,189,282,461,582,645,715,3181
1986,3,Female,03 Diabetes,0,0,0,1,0,1,0,2,0,1,2,6,12,19,34,84,107,105,76,37,487
1986,3,Female,04 Ischaemic heart disease,0,0,0,0,0,1,1,4,6,16,38,81,200,439,716,1123,1439,1572,1120,625,7381
1986,3,Female,05 Stroke (cerebrovascular),0,1,0,0,1,3,2,10,10,12,21,38,69,137,235,492,838,1004,904,576,4353
1986,3,Female,06 Other circulatory,2,1,0,1,3,6,3,6,6,12,16,25,52,104,186,299,442,656,619,520,2959
1986,3,Female,07 Intentional injuries,1,1,0,0,3,11,10,8,14,10,13,12,13,11,14,14,16,7,4,1,163
1986,3,Female,08 Unintentional injuries,2,8,6,6,15,24,9,12,6,7,9,12,22,8,33,49,51,91,76,61,507
1986,3,Female,09 All other causes,218,27,9,4,22,27,23,26,33,44,39,54,91,164,215,400,597,798,795,605,4191
1986,3,Female,10 Neonatal,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
1986,4,Male,01 Neoplasms,0,4,7,2,10,22,17,33,60,71,139,244,487,889,1093,1424,1314,849,379,106,7150
1986,4,Male,02 Diseases of the respiratory system,20,5,0,2,5,5,8,6,7,15,15,32,78,207,284,531,700,657,448,229,3254
1986,4,Male,03 Diabetes,0,0,0,0,0,0,0,0,4,4,6,5,23,23,32,49,78,70,38,11,343
1986,4,Male,04 Ischaemic heart disease,0,0,0,0,0,2,0,11,34,90,171,315,604,988,1346,1690,1654,1187,504,191,8787
1986,4,Male,05 Stroke (cerebrovascular),0,1,1,0,2,3,4,9,16,16,30,34,77,172,253,474,625,574,291,128,2710
1986,4,Male,06 Other circulatory,1,0,2,1,3,4,6,7,16,12,21,39,71,143,223,319,385,342,211,133,1939
1986,4,Male,07 Intentional injuries,0,3,3,0,19,29,24,22,28,21,19,18,21,27,15,19,17,10,1,0,296
1986,4,Male,08 Unintentional injuries,2,11,6,11,78,77,54,45,42,32,31,32,32,40,27,49,44,36,24,25,698
1986,4,Male,09 All other causes,314,33,13,11,22,32,35,46,48,47,64,71,99,171,239,373,511,463,312,159,3063
1986,4,Male,10 Neonatal,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1986,4,Female,01 Neoplasms,0,6,4,8,7,8,17,36,64,105,194,287,485,657,837,994,1051,861,556,284,6461
1986,4,Female,02 Diseases of the respiratory system,9,2,2,1,2,2,0,3,7,3,15,23,44,113,171,242,390,561,593,636,2819
1986,4,Female,03 Diabetes,0,0,0,0,2,2,0,0,2,2,2,6,5,28,46,44,87,106,72,38,442
1986,4,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,2,8,10,29,80,172,396,601,1034,1357,1454,1139,656,6938
1986,4,Female,05 Stroke (cerebrovascular),0,0,0,0,1,1,9,4,9,12,18,28,72,122,255,456,830,969,867,578,4231
1986,4,Female,06 Other circulatory,1,0,1,0,2,6,2,5,5,9,10,18,44,107,140,245,472,638,581,515,2801
1986,4,Female,07 Intentional injuries,0,0,0,0,4,2,9,7,5,5,8,7,16,14,12,13,18,5,3,1,129
1986,4,Female,08 Unintentional injuries,2,5,8,5,12,14,14,6,7,11,7,11,13,17,19,32,65,86,70,65,469
1986,4,Female,09 All other causes,208,15,12,8,15,25,22,27,26,37,48,55,70,154,218,347,576,826,764,613,4066
1986,4,Female,10 Neonatal,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1986,5,Male,01 Neoplasms,0,2,4,7,11,15,24,21,50,69,154,233,456,882,1094,1367,1372,881,363,109,7114
1986,5,Male,02 Diseases of the respiratory system,16,5,0,3,2,7,6,2,10,11,12,23,84,174,258,447,648,628,412,233,2981
1986,5,Male,03 Diabetes,0,0,0,0,0,0,0,3,2,2,4,6,17,20,35,70,71,55,23,16,324
1986,5,Male,04 Ischaemic heart disease,0,0,0,0,0,1,1,9,42,87,168,309,566,930,1214,1609,1624,1166,562,224,8512
1986,5,Male,05 Stroke (cerebrovascular),0,0,0,0,2,2,1,3,8,16,21,46,81,147,245,441,592,559,302,133,2599
1986,5,Male,06 Other circulatory,0,0,0,1,1,1,6,2,5,11,16,35,74,160,209,339,413,382,225,127,2007
1986,5,Male,07 Intentional injuries,0,0,0,0,9,21,23,35,19,22,23,17,26,18,22,22,15,15,1,1,289
1986,5,Male,08 Unintentional injuries,3,9,10,14,73,59,42,31,34,30,24,26,25,34,16,55,39,53,31,16,624
1986,5,Male,09 All other causes,256,13,6,7,38,26,26,40,34,46,63,69,114,146,235,357,499,553,329,134,2991
1986,5,Male,10 Neonatal,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1986,5,Female,01 Neoplasms,0,8,4,7,2,9,25,34,54,115,172,250,408,639,836,1016,1052,940,581,278,6430
1986,5,Female,02 Diseases of the respiratory system,12,3,1,1,3,1,3,4,6,8,8,24,50,96,139,244,418,583,601,692,2897
1986,5,Female,03 Diabetes,0,0,0,0,0,0,1,0,4,0,3,3,13,20,48,60,87,101,70,46,456
1986,5,Female,04 Ischaemic heart disease,0,0,0,0,0,0,1,3,11,14,21,53,150,337,561,983,1290,1409,1070,651,6554
1986,5,Female,05 Stroke (cerebrovascular),0,0,0,0,2,0,1,1,14,15,18,23,47,111,233,469,798,1013,902,598,4245
1986,5,Female,06 Other circulatory,1,0,1,1,5,2,6,1,5,7,22,15,38,83,147,251,416,608,643,601,2853
1986,5,Female,07 Intentional injuries,1,0,0,0,0,7,12,5,10,8,8,13,7,12,9,10,9,6,3,0,120
1986,5,Female,08 Unintentional injuries,4,5,9,3,19,16,7,4,5,9,9,12,20,10,19,36,65,73,74,62,461
1986,5,Female,09 All other causes,186,22,8,9,16,15,19,21,27,31,39,49,76,151,208,369,644,890,840,698,4318
1986,5,Female,10 Neonatal,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
1986,6,Male,01 Neoplasms,1,4,1,9,9,9,24,13,42,77,130,206,440,758,916,1310,1253,881,406,102,6591
1986,6,Male,02 Diseases of the respiratory system,15,1,0,2,3,7,2,4,9,9,11,29,70,152,242,449,612,675,426,244,2962
1986,6,Male,03 Diabetes,0,0,0,0,0,0,1,1,1,5,4,2,17,15,36,63,71,64,32,13,325
1986,6,Male,04 Ischaemic heart disease,0,0,0,0,0,0,6,10,29,77,180,315,512,908,1111,1470,1608,1167,608,219,8220
1986,6,Male,05 Stroke (cerebrovascular),1,0,0,0,3,1,4,6,7,12,17,40,71,160,220,457,618,577,304,127,2625
1986,6,Male,06 Other circulatory,3,0,0,4,5,2,8,6,8,9,28,35,59,128,233,306,390,365,230,150,1969
1986,6,Male,07 Intentional injuries,0,0,1,0,5,28,17,26,29,26,24,18,17,19,14,9,9,8,5,1,256
1986,6,Male,08 Unintentional injuries,1,11,5,12,71,83,54,39,33,33,38,20,35,36,34,40,38,36,26,14,659
1986,6,Male,09 All other causes,212,25,14,12,36,31,43,27,34,60,54,68,85,148,223,331,493,509,347,189,2941
1986,6,Male,10 Neonatal,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1986,6,Female,01 Neoplasms,2,5,5,2,7,15,13,45,65,111,173,270,412,647,729,954,1088,892,537,286,6258
1986,6,Female,02 Diseases of the respiratory system,3,0,0,3,3,5,2,4,6,6,11,11,43,90,111,208,356,558,599,733,2752
1986,6,Female,03 Diabetes,0,0,0,0,0,1,1,2,0,2,3,5,5,15,35,68,81,106,70,34,428
1986,6,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,0,7,7,28,61,129,295,485,890,1318,1422,1089,728,6459
1986,6,Female,05 Stroke (cerebrovascular),0,0,0,2,0,3,2,4,8,17,17,21,59,120,212,472,791,1107,924,672,4431
1986,6,Female,06 Other circulatory,3,4,2,1,1,4,1,5,2,7,9,20,31,84,125,254,433,581,658,606,2831
1986,6,Female,07 Intentional injuries,2,0,0,0,4,7,6,7,16,9,8,8,8,18,14,17,16,3,3,0,146
1986,6,Female,08 Unintentional injuries,0,10,6,5,18,18,11,13,9,11,14,7,17,15,28,37,75,91,85,59,529
1986,6,Female,09 All other causes,143,16,3,5,13,21,16,9,26,30,29,58,85,131,183,314,609,871,799,675,4036
1986,6,Female,10 Neonatal,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
1986,7,Male,01 Neoplasms,0,3,7,12,9,23,15,21,41,93,136,230,438,657,917,1247,1211,821,356,121,6358
1986,7,Male,02 Diseases of the respiratory system,10,1,2,0,3,2,4,7,3,10,13,23,65,137,213,376,541,559,380,250,2599
1986,7,Male,03 Diabetes,0,0,0,0,1,0,2,0,0,1,1,6,12,21,33,59,79,70,30,9,324
1986,7,Male,04 Ischaemic heart disease,1,1,0,0,0,0,0,13,31,66,139,246,517,865,1018,1318,1507,1050,537,211,7520
1986,7,Male,05 Stroke (cerebrovascular),0,0,1,1,3,1,0,5,5,9,21,29,59,128,223,397,555,564,295,156,2452
1986,7,Male,06 Other circulatory,2,2,1,0,4,2,7,3,6,13,14,34,56,114,203,308,394,349,217,134,1863
1986,7,Male,07 Intentional injuries,1,0,0,0,5,19,22,21,30,26,22,20,22,19,20,14,8,15,2,1,267
1986,7,Male,08 Unintentional injuries,3,11,8,11,69,65,37,29,21,31,31,22,20,32,24,28,39,46,28,16,571
1986,7,Male,09 All other causes,208,19,7,9,22,31,28,21,34,47,35,50,100,126,210,280,449,471,303,164,2614
1986,7,Male,10 Neonatal,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1986,7,Female,01 Neoplasms,1,6,5,10,12,11,19,40,71,104,170,276,408,560,715,870,983,840,573,250,5924
1986,7,Female,02 Diseases of the respiratory system,8,3,0,1,1,7,2,3,1,9,13,9,43,73,114,186,298,501,600,640,2512
1986,7,Female,03 Diabetes,0,0,0,1,0,0,2,0,1,0,2,5,4,14,24,42,82,81,69,36,363
1986,7,Female,04 Ischaemic heart disease,0,0,0,0,0,1,0,1,9,9,16,45,124,251,435,835,1133,1342,1039,697,5937
1986,7,Female,05 Stroke (cerebrovascular),1,1,0,2,1,2,4,4,9,13,18,29,49,86,200,426,728,1049,906,583,4111
1986,7,Female,06 Other circulatory,2,3,0,0,1,2,2,4,3,4,14,13,34,61,118,213,393,558,557,584,2566
1986,7,Female,07 Intentional injuries,1,0,0,0,2,5,8,8,8,8,10,16,8,14,7,11,6,7,2,1,122
1986,7,Female,08 Unintentional injuries,1,3,4,7,23,19,8,6,6,11,11,13,12,17,17,38,66,75,69,47,453
1986,7,Female,09 All other causes,153,21,8,12,11,11,16,17,18,41,35,39,74,120,171,321,541,779,742,627,3757
1986,7,Female,10 Neonatal,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1986,8,Male,01 Neoplasms,1,5,5,4,11,18,22,15,51,60,116,211,354,626,818,1072,1103,773,347,106,5718
1986,8,Male,02 Diseases of the respiratory system,9,0,0,1,4,4,1,8,6,8,13,24,40,140,179,386,522,510,393,228,2476
1986,8,Male,03 Diabetes,1,1,0,0,0,1,1,0,1,1,4,6,10,14,33,46,74,54,23,7,277
1986,8,Male,04 Ischaemic heart disease,0,0,0,0,0,1,1,7,36,78,149,298,447,744,965,1281,1461,1033,520,201,7222
1986,8,Male,05 Stroke (cerebrovascular),0,0,1,2,2,2,6,4,7,13,22,31,59,120,188,386,530,515,292,141,2321
1986,8,Male,06 Other circulatory,1,2,0,0,5,3,3,6,8,15,9,32,48,127,162,295,389,338,228,131,1802
1986,8,Male,07 Intentional injuries,2,0,0,1,4,17,13,22,16,26,22,23,18,23,17,17,14,9,2,0,246
1986,8,Male,08 Unintentional injuries,3,3,10,16,63,73,43,29,27,24,19,29,20,23,36,33,44,26,25,9,555
1986,8,Male,09 All other causes,208,16,16,16,27,31,33,32,34,35,35,61,77,128,169,291,442,441,307,164,2563
1986,8,Male,10 Neonatal,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
1986,8,Female,01 Neoplasms,1,2,5,11,4,10,16,27,70,110,193,295,363,504,637,868,966,762,527,282,5653
1986,8,Female,02 Diseases of the respiratory system,5,2,1,1,4,2,4,2,6,7,4,26,32,75,101,196,292,487,545,654,2446
1986,8,Female,03 Diabetes,0,0,0,0,1,1,0,0,0,1,0,5,7,16,29,48,66,76,68,40,358
1986,8,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,2,9,9,17,36,99,194,397,729,1084,1278,959,620,5433
1986,8,Female,05 Stroke (cerebrovascular),0,0,1,2,0,1,3,5,5,13,19,25,43,105,170,378,676,1023,874,635,3978
1986,8,Female,06 Other circulatory,0,0,0,1,3,1,0,3,8,6,5,18,29,65,95,192,423,554,613,586,2602
1986,8,Female,07 Intentional injuries,0,0,0,0,3,5,8,4,6,4,12,9,10,13,8,6,17,7,3,0,115
1986,8,Female,08 Unintentional injuries,1,5,8,4,19,12,6,5,7,8,11,11,9,17,25,42,60,66,68,56,440
1986,8,Female,09 All other causes,133,20,5,5,15,13,16,13,33,30,39,56,80,139,170,298,534,768,780,590,3737
1986,8,Female,10 Neonatal,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1986,9,Male,01 Neoplasms,0,4,5,5,12,8,19,15,53,66,93,176,388,585,756,1026,1097,701,312,100,5421
1986,9,Male,02 Diseases of the respiratory system,6,4,1,1,3,4,6,4,8,11,11,24,48,102,157,304,440,481,317,198,2130
1986,9,Male,03 Diabetes,0,0,0,0,0,0,1,1,1,4,5,1,5,19,32,35,63,51,28,16,262
1986,9,Male,04 Ischaemic heart disease,0,0,0,0,0,0,4,2,34,61,163,269,473,684,880,1248,1247,907,484,197,6653
1986,9,Male,05 Stroke (cerebrovascular),0,0,0,0,1,1,2,3,8,8,24,25,50,103,180,310,503,446,277,117,2058
1986,9,Male,06 Other circulatory,0,0,0,0,1,3,4,3,7,10,20,21,47,103,150,256,347,304,196,116,1588
1986,9,Male,07 Intentional injuries,0,0,0,0,13,23,14,14,21,21,18,20,21,13,11,13,12,5,0,3,222
1986,9,Male,08 Unintentional injuries,2,4,7,11,73,73,26,34,24,25,22,14,23,29,29,24,34,31,21,14,520
1986,9,Male,09 All other causes,167,20,8,6,29,22,17,13,33,36,31,65,84,132,145,265,402,421,274,142,2312
1986,9,Male,10 Neonatal,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
1986,9,Female,01 Neoplasms,0,3,5,4,6,5,7,39,76,106,165,260,352,482,603,735,831,771,434,266,5150
1986,9,Female,02 Diseases of the respiratory system,9,2,2,3,3,2,4,1,4,10,9,9,29,65,99,160,276,422,488,583,2180
1986,9,Female,03 Diabetes,0,0,0,0,0,0,2,2,1,1,0,4,6,8,15,38,65,76,65,26,309
1986,9,Female,04 Ischaemic heart disease,0,0,0,0,0,0,1,1,4,9,14,36,76,198,370,701,1001,1157,893,591,5052
1986,9,Female,05 Stroke (cerebrovascular),0,0,2,0,0,0,1,1,5,9,18,22,32,94,138,343,613,881,777,567,3503
1986,9,Female,06 Other circulatory,2,0,0,0,0,0,2,1,1,5,11,13,26,53,69,188,320,449,500,562,2202
1986,9,Female,07 Intentional injuries,0,0,0,0,1,3,3,3,8,4,6,5,9,10,11,10,5,4,3,0,85
1986,9,Female,08 Unintentional injuries,0,7,2,6,20,17,11,10,7,9,7,13,9,12,22,35,43,62,64,66,422
1986,9,Female,09 All other causes,144,18,2,10,12,16,19,12,22,19,38,44,59,112,162,273,487,713,677,574,3413
1986,9,Female,10 Neonatal,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
1986,10,Male,01 Neoplasms,1,8,8,5,14,12,8,20,38,81,110,203,327,574,653,878,922,635,256,97,4850
1986,10,Male,02 Diseases of the respiratory system,5,1,1,2,4,2,3,1,3,7,7,15,41,78,116,226,342,385,279,185,1703
1986,10,Male,03 Diabetes,0,0,0,0,0,1,1,0,0,3,0,3,7,15,20,35,46,42,26,11,210
1986,10,Male,04 Ischaemic heart disease,0,0,0,0,0,0,3,5,25,64,117,265,397,595,764,1032,1093,808,407,188,5763
1986,10,Male,05 Stroke (cerebrovascular),0,1,0,1,1,0,3,5,12,7,16,21,36,106,133,271,449,382,246,118,1808
1986,10,Male,06 Other circulatory,0,2,1,0,5,3,0,5,6,9,9,25,49,102,116,201,258,230,165,106,1292
1986,10,Male,07 Intentional injuries,0,0,1,2,4,24,17,14,20,16,22,23,14,22,15,12,10,11,3,6,236
1986,10,Male,08 Unintentional injuries,2,7,2,3,76,52,27,18,29,21,25,16,23,19,20,32,30,25,19,11,457
1986,10,Male,09 All other causes,160,14,8,10,17,16,19,13,33,36,32,45,72,105,142,216,318,391,219,127,1993
1986,10,Male,10 Neonatal,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
1986,10,Female,01 Neoplasms,3,4,5,11,9,10,15,19,75,104,171,244,339,470,517,642,770,634,424,236,4702
1986,10,Female,02 Diseases of the respiratory system,1,2,1,0,1,2,3,2,1,3,4,13,23,50,60,120,203,360,410,500,1759
1986,10,Female,03 Diabetes,0,0,0,0,0,0,0,0,0,0,1,3,3,9,12,23,39,56,57,27,230
1986,10,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,0,1,5,12,21,88,141,276,528,806,994,781,543,4196
1986,10,Female,05 Stroke (cerebrovascular),0,0,0,0,1,0,0,2,7,4,14,27,37,59,147,293,498,726,670,470,2955
1986,10,Female,06 Other circulatory,1,2,0,0,2,0,0,4,1,6,4,16,19,56,85,137,295,390,416,419,1853
1986,10,Female,07 Intentional injuries,1,0,0,0,1,6,9,8,10,7,10,16,9,10,11,9,13,6,2,1,129
1986,10,Female,08 Unintentional injuries,1,2,5,7,21,17,4,4,10,8,7,13,17,19,12,21,36,53,47,37,341
1986,10,Female,09 All other causes,120,16,3,5,11,9,10,19,19,29,23,40,47,96,142,219,385,644,590,490,2917
1986,10,Female,10 Neonatal,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
1987,1,Male,01 Neoplasms,1,10,5,9,16,20,20,34,48,103,184,379,748,1323,1703,1770,1579,1013,408,98,9471
1987,1,Male,02 Diseases of the respiratory system,46,9,2,3,5,6,11,6,10,17,36,66,149,323,517,792,931,818,466,190,4403
1987,1,Male,03 Diabetes,0,0,0,0,0,2,0,1,4,4,11,17,39,51,57,81,87,56,23,7,440
1987,1,Male,04 Ischaemic heart disease,0,0,0,0,1,1,6,21,52,146,272,527,943,1458,1842,1884,1847,1266,500,169,10935
1987,1,Male,05 Stroke (cerebrovascular),5,0,1,1,5,0,1,8,10,20,36,76,141,289,386,582,730,599,276,97,3263
1987,1,Male,06 Other circulatory,6,2,3,2,7,2,3,12,14,17,49,67,109,198,300,363,406,338,202,84,2184
1987,1,Male,07 Intentional injuries,0,2,2,0,15,39,45,48,35,37,23,34,25,27,23,17,13,6,3,1,395
1987,1,Male,08 Unintentional injuries,6,38,20,30,68,86,58,44,40,37,37,45,51,36,55,49,64,45,23,16,848
1987,1,Male,09 All other causes,582,48,27,20,51,60,55,59,75,104,95,114,170,263,327,409,580,501,255,113,3908
1987,1,Male,10 Neonatal,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
1987,1,Female,01 Neoplasms,0,11,7,6,9,11,18,38,84,119,201,362,606,979,1159,1266,1249,1100,629,281,8135
1987,1,Female,02 Diseases of the respiratory system,22,8,1,1,6,6,6,10,4,12,24,45,105,212,305,462,549,685,674,650,3787
1987,1,Female,03 Diabetes,0,0,0,0,1,0,1,2,0,2,3,7,25,32,65,101,100,106,79,33,557
1987,1,Female,04 Ischaemic heart disease,0,0,0,0,0,1,4,4,13,26,64,141,303,631,1040,1424,1859,1721,1270,625,9126
1987,1,Female,05 Stroke (cerebrovascular),2,1,1,0,1,4,8,10,10,22,27,48,94,182,330,574,916,1072,924,516,4742
1987,1,Female,06 Other circulatory,4,4,3,1,8,3,6,3,5,17,28,33,71,151,216,366,538,634,529,467,3087
1987,1,Female,07 Intentional injuries,2,2,2,0,6,10,11,11,13,12,15,13,12,13,15,10,6,10,4,1,168
1987,1,Female,08 Unintentional injuries,7,16,12,6,18,13,10,10,8,13,16,14,19,24,27,59,81,100,71,62,586
1987,1,Female,09 All other causes,436,46,15,12,27,30,39,36,42,46,74,82,137,219,307,437,689,900,829,592,4995
1987,1,Female,10 Neonatal,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
1987,2,Male,01 Neoplasms,0,6,10,4,25,16,26,33,38,87,151,319,622,1113,1475,1579,1475,964,389,102,8434
1987,2,Male,02 Diseases of the respiratory system,24,7,1,1,2,13,9,7,12,15,38,34,115,250,422,669,782,690,393,213,3697
1987,2,Male,03 Diabetes,0,0,0,0,0,1,1,1,2,4,8,13,22,36,55,59,64,57,28,7,358
1987,2,Male,04 Ischaemic heart disease,0,0,0,0,0,0,5,20,52,135,204,424,795,1155,1558,1782,1626,1079,509,174,9518
1987,2,Male,05 Stroke (cerebrovascular),0,1,0,1,1,4,3,2,15,17,33,62,102,209,330,484,639,519,281,90,2793
1987,2,Male,06 Other circulatory,4,0,1,0,7,5,3,9,8,22,27,42,102,154,260,348,434,347,197,110,2080
1987,2,Male,07 Intentional injuries,2,0,1,1,8,34,37,32,27,28,20,18,23,39,19,11,11,6,2,2,321
1987,2,Male,08 Unintentional injuries,7,22,15,17,66,91,53,46,34,47,25,22,32,28,38,46,49,37,20,10,705
1987,2,Male,09 All other causes,430,54,13,20,34,58,48,70,69,82,70,75,148,191,283,364,517,444,266,123,3359
1987,2,Male,10 Neonatal,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
1987,2,Female,01 Neoplasms,3,8,3,5,8,16,14,32,75,117,193,323,490,808,1012,1116,1185,956,625,282,7271
1987,2,Female,02 Diseases of the respiratory system,22,3,1,2,5,3,3,5,8,10,16,41,76,145,220,331,459,638,631,643,3262
1987,2,Female,03 Diabetes,0,0,0,0,1,0,1,1,0,1,6,9,18,27,52,62,107,113,89,29,516
1987,2,Female,04 Ischaemic heart disease,0,0,0,0,0,0,1,5,10,22,38,104,236,519,791,1162,1527,1552,1144,670,7781
1987,2,Female,05 Stroke (cerebrovascular),1,1,0,0,1,5,3,5,16,25,30,55,75,157,305,482,827,1021,867,532,4408
1987,2,Female,06 Other circulatory,2,3,0,0,0,4,4,3,10,12,19,37,46,125,209,308,474,607,512,510,2885
1987,2,Female,07 Intentional injuries,2,0,0,1,1,8,15,7,4,9,10,10,11,4,13,12,2,9,3,0,121
1987,2,Female,08 Unintentional injuries,4,15,12,9,15,13,20,9,5,12,12,14,14,27,24,55,76,75,66,58,535
1987,2,Female,09 All other causes,262,35,12,6,18,27,23,36,35,39,65,80,101,192,215,377,641,827,741,606,4338
1987,2,Female,10 Neonatal,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
1987,3,Male,01 Neoplasms,2,7,4,3,10,14,15,34,55,92,147,270,512,969,1289,1476,1403,939,383,103,7727
1987,3,Male,02 Diseases of the respiratory system,21,4,1,1,5,0,10,8,5,12,20,46,97,199,334,559,734,693,404,233,3386
1987,3,Male,03 Diabetes,0,0,0,0,0,1,0,2,3,1,4,6,24,27,39,64,87,64,33,11,366
1987,3,Male,04 Ischaemic heart disease,1,0,0,0,0,0,4,14,40,108,204,370,673,1027,1513,1667,1689,1128,528,163,9129
1987,3,Male,05 Stroke (cerebrovascular),0,0,1,0,0,1,4,6,11,11,35,55,86,163,275,466,584,544,278,102,2622
1987,3,Male,06 Other circulatory,3,1,0,1,6,7,5,7,12,19,22,43,92,177,238,319,405,326,180,103,1966
1987,3,Male,07 Intentional injuries,1,2,1,0,13,31,31,36,24,36,17,17,23,26,14,13,11,7,2,2,307
1987,3,Male,08 Unintentional injuries,6,20,15,14,67,79,60,43,43,36,39,35,34,35,41,37,40,47,27,10,728
1987,3,Male,09 All other causes,329,32,13,8,27,56,53,63,54,64,71,80,134,183,265,354,446,462,299,144,3137
1987,3,Male,10 Neonatal,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1987,3,Female,01 Neoplasms,1,2,6,3,5,12,27,33,74,139,162,285,505,735,906,1017,1102,956,611,271,6852
1987,3,Female,02 Diseases of the respiratory system,13,8,1,1,1,5,1,1,9,5,16,30,66,117,207,320,389,526,591,589,2896
1987,3,Female,03 Diabetes,0,0,0,0,0,1,0,1,1,3,3,9,25,29,39,62,90,109,70,38,480
1987,3,Female,04 Ischaemic heart disease,0,0,0,0,0,0,0,7,5,13,37,90,199,400,757,1042,1429,1552,1051,650,7232
1987,3,Female,05 Stroke (cerebrovascular),0,0,0,0,2,4,5,8,11,12,20,48,83,152,249,474,753,1065,887,608,4381
1987,3,Female,06 Other circulatory,0,0,0,1,0,1,3,3,3,7,17,25,56,100,156,243,432,573,594,506,2720
1987,3,Female,07 Intentional injuries,1,0,0,0,5,5,11,12,9,8,7,5,8,9,11,9,10,5,2,0,117
